1|eSocial||G|-|1|-|-|eSocial
2|evtPgtos|eSocial|G|-|1|-|-|Evento Pagamentos de Rendimentos do Trabalho.Regras de validação:REGRA_CONTROLE_DUPLICIDADEREGRA_DESCONTO_IRRF_POSITIVOREGRA_EMPREGADO_DOMESTICOREGRA_ENVIO_PROC_FECHAMENTOREGRA_EVENTOS_EXTEMPREGRA_EVE_FOPAG_SIMPLIFICADOREGRA_EXISTE_INFO_EMPREGADORREGRA_MESMO_PROCEMIREGRA_PAGTO_IND_RETIFICACAOREGRA_PAGTO_PERMITE_EXCLUSAOREGRA_VALIDA_DT_PGTOREGRA_VALIDA_EMPREGADORREGRA_VALIDA_PER_APUR_PGTOREGRA_VALIDA_PERANT_1210
3|Id|evtPgtos|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtPgtos|G|-|1|-|-|Informações de identificação do evento.
5|indRetif|ideEvento|E|N|1|1|-|Informe [1] para arquivo original ou [2] para arquivo de retificação.Valores válidos:1 - Original2 - Retificação
6|nrRecibo|ideEvento|E|C|0-1|23|-|Preencher com o número do recibo do arquivo a ser retificado.Validação: O preenchimento é obrigatório se indRetif            = [2].            Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado.
7|perApur|ideEvento|E|C|1|7|-|Informar o mês/ano (formato AAAA-MM) de referência das informações.Validação: Deve ser um mês/ano válido, igual ou posterior ao início da obrigatoriedade dos            eventos periódicos para o empregador.
8|indGuia|ideEvento|E|N|0-1|1|-|Indicativo do tipo de guia.Valores válidos:1 - Documento de Arrecadação do eSocial - DAE
9|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
10|procEmi|ideEvento|E|N|1|2|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador2 - Aplicativo governamental - Simplificado Pessoa Física3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico
