1|eSocial||G|-|1|-|-|eSocial
2|evtBenPrRP|eSocial|G|-|1|-|-|Evento Benefícios - Entes Públicos.Regras de validação:REGRA_CONTROLE_DUPLICIDADEREGRA_ENVIO_PROC_FECHAMENTOREGRA_EVENTOS_EXTEMPREGRA_EXISTE_INFO_EMPREGADORREGRA_GERAL_VALIDA_DADOS_TABCONTRIBREGRA_REMUN_ANUAL_DEZEMBROREGRA_REMUN_BENEFICIO_EXISTENTE_RETREGRA_REMUN_IND_RETIFICACAOREGRA_REMUN_PERMITE_EXCLUSAOREGRA_RUBRICA_COMPATIVEL_DECTERCEIROREGRA_VALIDA_EMPREGADORREGRA_VALIDA_PERIODO_APURACAO
3|Id|evtBenPrRP|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtBenPrRP|G|-|1|-|-|Informações de identificação do evento.
5|indRetif|ideEvento|E|N|1|1|-|Informe [1] para arquivo original ou [2] para arquivo de retificação.Valores válidos:1 - Original2 - Retificação
6|nrRecibo|ideEvento|E|C|0-1|23|-|Preencher com o número do recibo do arquivo a ser retificado.Validação: O preenchimento é obrigatório se indRetif            = [2].            Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado.
7|indApuracao|ideEvento|E|N|1|1|-|Indicativo de período de apuração.Valores válidos:1 - Mensal2 - Anual (13° salário)
8|perApur|ideEvento|E|C|1|7|-|Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se            indApuracao for igual a [2].Validação: Deve ser um mês/ano ou ano válido, igual ou posterior ao início da            obrigatoriedade dos eventos periódicos para o empregador.
9|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
10|procEmi|ideEvento|E|N|1|1|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica
11|verProc|ideEvento|E|C|1|20|-|Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento.
12|ideEmpregador|evtBenPrRP|G|-|1|-|-|Informações de identificação do empregador.
13|tpInsc|ideEmpregador|E|N|1|1|-|Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.Valores válidos:1 - CNPJ
14|nrInsc|ideEmpregador|E|C|1|14|-|Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000.
15|ideBenef|evtBenPrRP|G|-|1|-|-|Identificação do beneficiário.
16|cpfBenef|ideBenef|E|C|1|11|-|Informar o CPF do beneficiário.Validação: Deve ser um CPF válido.
17|dmDev|evtBenPrRP|G|-|1-999|-|-|Identificação de cada um dos demonstrativos de valores devidos ao beneficiário.Regra de validação:REGRA_DEMONSTRATIVO
