1|eSocial||G|-|1|-|-|eSocial
2|evtAdmissao|eSocial|G|-|1|-|-|Evento Cadastramento Inicial do Vínculo e Admissão/Ingresso de Trabalhador.Regras de validação:REGRA_ADMISSAO_POSTERIOR_INICIO_ATIVIDADESREGRA_ADMISSAO_VALIDA_DT_ADMREGRA_ADMISSAO_VALIDA_DURACAO_CONTRATOREGRA_ANOTACAO_JUDICIALREGRA_BLOQUEIA_USO_CPF_EMPREGADORREGRA_COMPATIBILIDADE_CATEGORIA_CLASSTRIBREGRA_COMPATIB_CATEG_EVENTOREGRA_EMPREGADO_DOMESTICOREGRA_ENVIO_PROC_FECHAMENTOREGRA_EVENTOS_EXTEMPREGRA_EVETRAB_VALIDA_OPCAO_FGTSREGRA_EXCLUSAO_ADMISSAO_TSVE_INICIOREGRA_EXISTE_INFO_EMPREGADORREGRA_EXTEMP_DOMESTICOREGRA_EXTEMP_REINTEGRACAOREGRA_GERAL_VALIDA_DADOS_TABCONTRIBREGRA_MESMO_PROCEMIREGRA_MUDANCA_CPFREGRA_REGISTRO_PRELIMINARREGRA_RETIFICA_MESMO_VINCULOREGRA_VALIDA_EMPREGADORREGRA_VALIDA_MATRICULAREGRA_VALIDA_TRABALHADOR_BASE_CPF
3|Id|evtAdmissao|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtAdmissao|G|-|1|-|-|Informações de identificação do evento.
5|indRetif|ideEvento|E|N|1|1|-|Informe [1] para arquivo original ou [2] para arquivo de retificação.Valores válidos:1 - Original2 - Retificação
6|nrRecibo|ideEvento|E|C|0-1|23|-|Preencher com o número do recibo do arquivo a ser retificado.Validação: O preenchimento é obrigatório se indRetif            = [2].            Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado.
7|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
8|procEmi|ideEvento|E|N|1|2|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador2 - Aplicativo governamental - Simplificado Pessoa Física3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica9 - Aplicativo governamental - Integração com a Junta Comercial22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico
9|verProc|ideEvento|E|C|1|20|-|Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento.
10|ideEmpregador|evtAdmissao|G|-|1|-|-|Informações de identificação do empregador.
