1|eSocial||G|-|1|-|-|eSocial
2|evtAltContratual|eSocial|G|-|1|-|-|Evento Alteração de Contrato de Trabalho/Relação Estatutária.Regras de validação:REGRA_ADMISSAO_VALIDA_DURACAO_CONTRATOREGRA_ALTERA_CATEGREGRA_EMPREGADO_DOMESTICOREGRA_ENVIO_PROC_FECHAMENTOREGRA_EVENTOS_EXTEMPREGRA_EVENTO_POSTERIOR_CAT_OBITOREGRA_EXISTE_INFO_EMPREGADORREGRA_EXTEMP_DOMESTICOREGRA_EXTEMP_REINTEGRACAOREGRA_GERAL_VALIDA_DADOS_TABCONTRIBREGRA_MESMO_PROCEMIREGRA_RETIFICA_MESMO_VINCULOREGRA_VALIDA_TRABALHADOR_BASE_CPFREGRA_VINCULO_ATIVO_NA_DTEVENTO
3|Id|evtAltContratual|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtAltContratual|G|-|1|-|-|Informações de identificação do evento.
5|indRetif|ideEvento|E|N|1|1|-|Informe [1] para arquivo original ou [2] para arquivo de retificação.Valores válidos:1 - Original2 - Retificação
6|nrRecibo|ideEvento|E|C|0-1|23|-|Preencher com o número do recibo do arquivo a ser retificado.Validação: O preenchimento é obrigatório se indRetif            = [2].            Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado.
7|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
8|procEmi|ideEvento|E|N|1|2|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador2 - Aplicativo governamental - Simplificado Pessoa Física3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico
9|verProc|ideEvento|E|C|1|20|-|Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento.
10|ideEmpregador|evtAltContratual|G|-|1|-|-|Informações de identificação do empregador.
11|tpInsc|ideEmpregador|E|N|1|1|-|Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.Valores válidos:1 - CNPJ2 - CPF
