1|eSocial||G|-|1|-|-|eSocial
2|evtTabRubrica|eSocial|G|-|1|-|-|Evento Tabela de Rubricas.Regras de validação:REGRA_ENVIO_PROC_FECHAMENTOREGRA_EXISTE_INFO_EMPREGADORREGRA_TABGERAL_ALTERACAO_PERIODO_CONFLITANTEREGRA_TABGERAL_EXISTE_REGISTRO_ALTERADOREGRA_TABGERAL_EXISTE_REGISTRO_EXCLUIDOREGRA_TABGERAL_INCLUSAO_PERIODO_CONFLITANTEREGRA_TABRUBR_INCLUSAOREGRA_TAB_PERMITE_EXCLUSAOREGRA_VALIDA_DT_FUTURA
3|Id|evtTabRubrica|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtTabRubrica|G|-|1|-|-|Informações de identificação do evento.
5|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
6|procEmi|ideEvento|E|N|1|2|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador2 - Aplicativo governamental - Simplificado Pessoa Física3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico
7|verProc|ideEvento|E|C|1|20|-|Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento.
8|ideEmpregador|evtTabRubrica|G|-|1|-|-|Informações de identificação do empregador.
9|tpInsc|ideEmpregador|E|N|1|1|-|Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.Valores válidos:1 - CNPJ2 - CPF
10|nrInsc|ideEmpregador|E|C|1|14|-|Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000.
11|infoRubrica|evtTabRubrica|CG|-|1|-|-|Identificação da operação (inclusão, alteração ou exclusão) e das informações da rubrica.
12|inclusao|infoRubrica|G|-|0-1|-|-|Inclusão de novas informações.
13|ideRubrica|inclusao|G|-|1|-|-|Identificação da rubrica e período de validade das informações.
14|codRubr|ideRubrica|E|C|1|30|-|Informar o código atribuído pelo empregador que identifica a rubrica em sua folha de pagamento.Validação: O código não pode conter a expressão 'eSocial' nas 7 (sete) primeiras            posições.Regra de validação:REGRA_CARACTERE_ESPECIAL
15|ideTabRubr|ideRubrica|E|C|1|8|-|Preencher com o identificador da Tabela de Rubricas no âmbito do empregador.Validação: O identificador não pode conter a expressão 'eSocial' nas 7 (sete) primeiras            posições.Regra de validação:REGRA_CARACTERE_ESPECIAL
16|iniValid|ideRubrica|E|C|1|7|-|Preencher com o mês e ano de início da validade das informações prestadas no evento, no formato AAAA-MM.Validação: Deve ser uma data válida, igual ou posterior à data de início de obrigatoriedade            deste evento para o empregador no eSocial, no formato AAAA-MM.
17|fimValid|ideRubrica|E|C|0-1|7|-|Preencher com o mês e ano de término da validade das informações, se houver.Validação: Se informado, deve estar no formato AAAA-MM e ser um período igual ou posterior            a iniValid.
18|dadosRubrica|inclusao|G|-|1|-|-|Detalhamento das informações da rubrica.
19|dscRubr|dadosRubrica|E|C|1|00|-|Informar a descrição (nome) da rubrica no sistema de folha de pagamento da empresa.
20|natRubr|dadosRubrica|E|N|1|4|-|Informar o código de classificação da rubrica.Validação: Deve ser um código válido e existente na Tabela 03.            Para utilização de código [9253], é necessário que iniValid            seja igual ou posterior ao mês de início do eConsignado no eSocial.
21|tpRubr|dadosRubrica|E|N|1|1|-|Tipo de rubrica.Valores válidos:1 - Vencimento, provento ou pensão2 - Desconto3 - Informativa4 - Informativa dedutoraValidação: Se natRubr =            [9253], deve ser preenchido com [2].
22|codIncCP|dadosRubrica|E|C|1|2|-|Código de incidência tributária da rubrica para a Previdência Social.Valores válidos:00 - Não é base de cálculo01 - Não é base de cálculo em função de acordos internacionais de previdência social            Base de cálculo das contribuições sociais - Salário de contribuição:11 - Mensal12 - 13º salário13 - Exclusiva do empregador - Mensal14 - Exclusiva do empregador - 13° salário15 - Exclusiva do segurado - Mensal16 - Exclusiva do segurado - 13° salário21 - Salário-maternidade mensal, pago pelo empregador22 - Salário-maternidade 13º salário, pago pelo empregador25 - Salário-maternidade mensal, pago pelo INSS26 - Salário-maternidade 13° salário, pago pelo INSS            Contribuição descontada do segurado sobre salário de contribuição:31 - Mensal32 - 13º salário34 - SEST35 - SENAT            Outros:51 - Salário-família            Suspensão de incidência sobre salário de contribuição em decorrência de decisão judicial:91 - Mensal92 - 13º salário93 - Salário-maternidade94 - Salário-maternidade 13º salário95 - Exclusiva do empregador - Mensal96 - Exclusiva do empregador - 13º salário97 - Exclusiva do empregador - Salário-maternidade98 - Exclusiva do empregador - Salário-maternidade 13º salárioValidação: Para utilização de código [91, 92, 93, 94, 95, 96, 97, 98], é necessária a            existência de grupo com informações relativas ao processo.
23|codIncIRRF|dadosRubrica|E|N|1|4|-|Código de incidência tributária da rubrica para o Imposto de Renda Retido na Fonte - IRRF.Validação: Deve ser um código válido e existente na Tabela 21.            Para utilização de código [9X] ou [9XXX], é necessária a existência de grupo com informações relativas ao            processo.
